  kategorie   |       art        |     gruppierung     |               sparte               |                                 form_name                                 
 Verträge     | Arbeitsvertrag   | Beamter             | Mini                               | contract-employment-employee-mini-job
 Verträge     | Arbeitsvertrag   | Beamter             | Praktikumsvertrag                  | contract-employment-employee-internship
 Verträge     | Arbeitsvertrag   | Beamter             | Teilzeit                           | contract-employment-employee-part-time
 Verträge     | Arbeitsvertrag   | Beamter             | Vollzeit                           | contract-employment-employee-fulltime
 Verträge     | Arbeitsvertrag   | Beamter             | Werkvertrag                        | contract-employment-employment-employmentcontract
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Aufhebungsvertrag                  | contract-employment-employee-terminationcontract
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Aushilfe                           | contract-employment-employee-mini-job
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Mini                               | contract-employment-employee-mini-job
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Praktikumsvertrag                  | contract-employment-employee-internship
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Teilzeit                           | contract-employment-employee-part-time
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Vollzeit                           | contract-employment-employee-fulltime
 Verträge     | Arbeitsvertrag   | öffentlicher Dienst | Werkvertrag                        | contract-employment-employment-employmentcontract
 Verträge     | Bankkonto        | Festgeldkonto       | Festgeldkonto                      | contract-savings-savings-fixedtermcontract
 Verträge     | Bankkonto        | Girokonto           | Girokonto                          | contract-bankaccount-bank-bankaccount
 Verträge     | Bankkonto        | Sparkonto           | Sparkonto                          | contract-savings-savings-savingscontract
 Verträge     | Bankkonto        | Tagesgeldkonto      | Tagesgeldkonto                     | contract-savings-savings-overnightcontract
 Verträge     | Darlehen         | Förderung           | Bafög                              | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Abrufdarlehen                      | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Annuitätendarlehen                 | contract-loan-annuityloan-annuityloan
