Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Fahrrad","Pedelec","Trekking","mobility","bike","pedelec","p-trekking-bike","pedelec","mobility-bike-pedelec-p-trekking-bike"
"Mobilität","Fahrrad","Pedelec","XXL","mobility","bike","pedelec","p-xxl","pedelec","mobility-bike-pedelec-p-xxl"
"Mobilität","Landwirtschaft","Traktor","B","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Landwirtschaft","Traktor","C","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Landwirtschaft","Traktor","Träker","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Nutzfahrzeug","Anhänger","A","mobility","commercial-vehicle","trailer","a","trailer","mobility-commercial-vehicle-trailer-a"
"Mobilität","Nutzfahrzeug","Anhänger","B","mobility","commercial-vehicle","trailer","b","trailer","mobility-commercial-vehicle-trailer-b"
"Mobilität","Nutzfahrzeug","Anhänger","C","mobility","commercial-vehicle","trailer","c","trailer","mobility-commercial-vehicle-trailer-c"
"Mobilität","Nutzfahrzeug","Kasten","A","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Kasten","B","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Kasten","C","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Wohnwagen","Familien","mobility","commercial-vehicle","caravan","family","caravan","mobility-commercial-vehicle-caravan-family"
"Mobilität","Nutzfahrzeug","Wohnwagen","Luxus","mobility","commercial-vehicle","caravan","luxury","caravan","mobility-commercial-vehicle-caravan-luxury"
"Mobilität","Nutzfahrzeug","Wohnwagen","Sport","mobility","commercial-vehicle","caravan","sport","caravan","mobility-commercial-vehicle-caravan-sport"
"Mobilität","Nutzfahrzeug","Wohnwagen","Zelt","mobility","commercial-vehicle","caravan","tent","caravan","mobility-commercial-vehicle-caravan-tent"
"Mobilität","Nutzfahrzeug","Wohnwagen","Zwei-Personen","mobility","commercial-vehicle","caravan","two-persons","caravan","mobility-commercial-vehicle-caravan-two-persons"
