Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Nutzfahrzeug","Anhänger","B","mobility","commercial_vehicle","trailer","b","trailer","mobility-commercial_vehicle-trailer-b"
"Mobilität","Nutzfahrzeug","Kasten","B","mobility","commercial_vehicle","box","boxvan","boxvan","mobility-commercial_vehicle-box-boxvan"
"Mobilität","Landwirtschaft","Traktor","B","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Verträge","Darlehen","Förderung","Bafög","contract","loan","support","student_loans","contract-loan-credit-creditcontract","contract-loan-support-student_loans"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract","insurance","object","builders_liability","contract-insurance-builderliability-builderliabilitycontract","contract-insurance-object-builders_liability"
"Immobilien","ohne Bebauung","Grund","Bebauungsgrundstück","realestate","without_development","ground","building_plot","building-plot","realestate-without_development-ground-building_plot"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract","insurance","life","disability_insurance","contract-insurance-disability-disabilitycontract","contract-insurance-life-disability_insurance"
"Mobilität","Nutzfahrzeug","Kasten","C","mobility","commercial_vehicle","box","boxvan","boxvan","mobility-commercial_vehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Anhänger","C","mobility","commercial_vehicle","trailer","c","trailer","mobility-commercial_vehicle-trailer-c"
"Mobilität","Personenfahrzeug","Quad","C","mobility","passenger_vehicle","quad","quad_c","quad","mobility-passenger_vehicle-quad-quad_c"
"Mobilität","Landwirtschaft","Traktor","C","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Personenfahrzeug","Auto","Cabrio","mobility","passenger_vehicle","car","convertible","car","mobility-passenger_vehicle-car-convertible"
"Immobilien","mit Bebauung","Parkfläche","Carport","realestate","with_development","parking_space","carport","carport","realestate-with_development-parking_space-carport"
"Finanzkonten","Kredit","Kreditkarte","Charge","financeaccount","credit","credit_card","charge","contract-savings-savings-overnightcontract","financeaccount-credit-credit_card-charge"
"Mobilität","Personenfahrzeug","Motorrad","Chopper","mobility","passenger_vehicle","motorcycle","chopper","chopper","mobility-passenger_vehicle-motorcycle-chopper"
"Mobilität","Fahrrad","Bike","City","mobility","bike","bike","city","bicycle","mobility-bike-bike-city"
"Mobilität","Fahrrad","Pedelec","City","mobility","bike","pedelec","p_city","pedelec","mobility-bike-pedelec-p_city"
"Mobilität","Fahrrad","E-Bike","City","mobility","bike","e_bike","e_city","ebike","mobility-bike-e_bike-e_city"
"Verträge","Kaufvertrag","Gegenstände","Couch","contract","purchase_contract","objects","coffee_table","contract-sale-sale-salecontract","contract-purchase_contract-objects-coffee_table"
"Mobilität","Personenfahrzeug","Auto","Coupé","mobility","passenger_vehicle","car","coupe","car","mobility-passenger_vehicle-car-coupe"
"Mobilität","Fahrrad","E-Bike","Cross","mobility","bike","e_bike","e_cross","ebike","mobility-bike-e_bike-e_cross"
"Mobilität","Fahrrad","Pedelec","Cross","mobility","bike","pedelec","p_cross","pedelec","mobility-bike-pedelec-p_cross"
"Mobilität","Fahrrad","Bike","Cross","mobility","bike","bike","cross","bicycle","mobility-bike-bike-cross"
"Mobilität","Personenfahrzeug","Motorrad","Cruiser","mobility","passenger_vehicle","motorcycle","cruiser","cruiser","mobility-passenger_vehicle-motorcycle-cruiser"
"Mobilität","Personenfahrzeug","Auto","CUV","mobility","passenger_vehicle","car","cuv","car","mobility-passenger_vehicle-car-cuv"
"Finanzkonten","Kredit","Kreditkarte","Debit","financeaccount","credit","credit_card","debit","contract-creditcard-credit-creditcard","financeaccount-credit-credit_card-debit"
"Mobilität","Personenfahrzeug","Motorrad","Dirt Bike","mobility","passenger_vehicle","motorcycle","dirt_bike","dirt-bike","mobility-passenger_vehicle-motorcycle-dirt_bike"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract","insurance","business","manager_liability","contract-insurance-domanager-domanagercontract","contract-insurance-business-manager_liability"
"Immobilien","mit Bebauung","Wohnhaus","Doppelhaushälfte","realestate","with_development","residential_building","semit_detached_house","commercial-residential-property","realestate-with_development-residential_building-semit_detached_house"
"Mobilität","Fahrrad","Pedelec","Dreirad","mobility","bike","pedelec","p_tricycle","pedelec","mobility-bike-pedelec-p_tricycle"
"Mobilität","Fahrrad","Bike","Dreirad","mobility","bike","bike","tricycle","bicycle","mobility-bike-bike-tricycle"
"Mobilität","Fahrrad","E-Bike","Dreirad","mobility","bike","e_bike","e_tricycle","ebike","mobility-bike-e_bike-e_tricycle"
"Verträge","Medien","Internet","DSL","contract","media","internet","broadband","contract-media-media-mediacontract","contract-media-internet-broadband"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract","insurance","object","ebike","contract-insurance-bike-bikecontract","contract-insurance-object-ebike"
"Immobilien","mit Bebauung","Wohnhaus","Einfamilienhaus","realestate","with_development","residential_building","detached_house","commercial-residential-property","realestate-with_development-residential_building-detached_house"
"Kontakte","Kontakte","Kontakt","Einzelkontakt","contact","contact","contact","single_contact","single-contact","contact-contact-contact-single_contact"
"Mobilität","Personenfahrzeug","Quad","Elektro","mobility","passenger_vehicle","quad","quad_electro","quad","mobility-passenger_vehicle-quad-quad_electro"
"Verträge","Versicherung","Sach","Elementar (Wohngebäude)","contract","insurance","object","elementary","contract-insurance-fire-firecontract","contract-insurance-object-elementary"
"Verträge","Darlehen","Immobilie","Endfällige Darlehen","contract","loan","realestate","bullet_loans","contract-loan-credit-creditcontract","contract-loan-realestate-bullet_loans"
"Mobilität","Fahrrad","Pedelec","Falt","mobility","bike","pedelec","p_folding_bike","pedelec","mobility-bike-pedelec-p_folding_bike"
"Mobilität","Fahrrad","Bike","Falt","mobility","bike","bike","folding_bike","bicycle","mobility-bike-bike-folding_bike"
"Mobilität","Fahrrad","E-Bike","Falt","mobility","bike","e_bike","e_folding_bike","ebike","mobility-bike-e_bike-e_folding_bike"
"Mobilität","Nutzfahrzeug","Wohnwagen","Familien","mobility","commercial_vehicle","caravan","family","caravan","mobility-commercial_vehicle-caravan-family"
"Verträge","Mietvertrag","Immobilie","Ferienhaus","contract","rental_contract","realestate","holiday_house","contract-lease-lease-leasecontract","contract-rental_contract-realestate-holiday_house"
"Immobilien","mit Bebauung","Wohnhaus","Ferienhaus","realestate","with_development","residential_building","vacation_house","commercial-residential-property","realestate-with_development-residential_building-vacation_house"
"Verträge","Mietvertrag","Immobilie","Ferienwohnung","contract","rental_contract","realestate","holiday_apartment","contract-lease-lease-leasecontract","contract-rental_contract-realestate-holiday_apartment"
"Verträge","Kaufvertrag","Geräte","Fernseher","contract","purchase_contract","devices","tv","contract-sale-sale-salecontract","contract-purchase_contract-devices-tv"
"Verträge","Energie","Heizen","Fernwärme","contract","energy","heating","district_heating","energy","contract-energy-heating-district_heating"
"Verträge","Versicherung","Sach","Feuer","contract","insurance","object","fire","insurance-fire","contract-insurance-object-fire"
"Verträge","Medien","Streaming","Filme / Serien","contract","media","streaming","movies_series","contract-media-media-mediacontract","contract-media-streaming-movies_series"
"Immobilien","mit Bebauung","Bewirtschaftung","Forst","realestate","with_development","farmland","forest","forest","realestate-with_development-farmland-forest"
"Verträge","Kredit","Kredit","freie Verwendung","contract","credit","credit","free_use","contract-loan-credit-creditcontract","contract-credit-credit-free_use"
