"Kategorie","Unterkategorie","Unterkategoriegruppe","Gruppentyp","Entity","SubEntity","SubSubEntity","SubSubSubEntity","FormName","FormDefinition"
"Verträge","Mietvertrag","Wohnen","Wohnungsmietvertrag","contract","rentalcontract","reside","apartmentrentalagreement","contract-rentalcontract-reside-apartmentrentalagreement","contract-rentalcontract-reside-apartmentrentalagreement"
"Verträge","Mietvertrag","Immobilie","Raum","contract","rentalcontract","realestate","room","contract-rentalcontract-realestate-room","contract-rentalcontract-realestate-room"
"Verträge","Mietvertrag","Immobilie","Gebäude","contract","rentalcontract","realestate","building","contract-rentalcontract-realestate-building","contract-rentalcontract-realestate-building"
"Verträge","Mietvertrag","Immobilie","Ferienhaus","contract","rentalcontract","realestate","holidayhouse","contract-rentalcontract-realestate-holidayhouse","contract-rentalcontract-realestate-holidayhouse"
"Verträge","Mietvertrag","Immobilie","Ferienwohnung","contract","rentalcontract","realestate","holidayapartment","contract-rentalcontract-realestate-holidayapartment","contract-rentalcontract-realestate-holidayapartment"
"Verträge","Mietvertrag","Abstellplatz","Parkplatz","contract","rentalcontract","putdownspace","parking","contract-rentalcontract-putdownspace-parking","contract-rentalcontract-putdownspace-parking"
"Verträge","Mietvertrag","Abstellplatz","Garage","contract","rentalcontract","putdownspace","garage","contract-rentalcontract-putdownspace-garage","contract-rentalcontract-putdownspace-garage"
"Verträge","Mietvertrag","KFZ","Auto","contract","rentalcontract","car","car","contract-rentalcontract-car-car","contract-rentalcontract-car-car"
"Verträge","Mietvertrag","KFZ","Wohnmobil","contract","rentalcontract","car","camper","contract-rentalcontract-car-camper","contract-rentalcontract-car-camper"
"Verträge","Kaufvertrag","Immobilie","Haus","contract","purchase","realestate","house","contract-purchase-realestate-house","contract-purchase-realestate-house"
"Verträge","Kaufvertrag","Immobilie","Wohnung","contract","purchase","realestate","apartment","contract-purchase-realestate-apartment","contract-purchase-realestate-apartment"
"Verträge","Kaufvertrag","Immobilie","Grunderwerbssteuer","contract","purchase","realestate","realestatetax","contract-purchase-realestate-realestatetax","contract-purchase-realestate-realestatetax"
"Verträge","Kaufvertrag","Gegenstände","Tisch","contract","purchase","objects","table","contract-purchase-objects-table","contract-purchase-objects-table"
"Verträge","Kaufvertrag","Gegenstände","Couch","contract","purchase","objects","coffeetable","contract-purchase-objects-coffeetable","contract-purchase-objects-coffeetable"
"Verträge","Kaufvertrag","Geräte","Fernseher","contract","purchase","devices","tv","contract-purchase-devices-tv","contract-purchase-devices-tv"
"Verträge","Kaufvertrag","Geräte","Handy","contract","purchase","devices","mobile","contract-purchase-devices-mobile","contract-purchase-devices-mobile"
"Verträge","Kaufvertrag","KFZ","Auto","contract","purchase","car","car","contract-purchase-car-car","contract-purchase-car-car"
"Verträge","Kaufvertrag","KFZ","Motorrad","contract","purchase","car","motorcycle","contract-purchase-car-motorcycle","contract-purchase-car-motorcycle"
"Verträge","Leasing","KFZ","Auto","contract","leasing","car","car","contract-leasing-car-car","contract-leasing-car-car"
"Verträge","Dienstleistung","Service","Immobilienmakler","contract","service","service","realestateagent","contract-service-service-realestateagent","contract-service-service-realestateagent"
"Verträge","Dienstleistung","Service","Mietverwaltung","contract","service","service","rentalmanagement","contract-service-service-rentalmanagement","contract-service-service-rentalmanagement"
"Verträge","Dienstleistung","Service","Hausverwaltung","contract","service","service","propertymanagement","contract-service-service-propertymanagement","contract-service-service-propertymanagement"
"Verträge","Dienstleistung","Service","Hausmeisterservice","contract","service","service","caretakerservice","contract-service-service-caretakerservice","contract-service-service-caretakerservice"
"Verträge","Dienstleistung","Service","Reinigung","contract","service","service","cleaning","contract-service-service-cleaning","contract-service-service-cleaning"
"Verträge","Dienstleistung","Service","Gärtner","contract","service","service","gardener","contract-service-service-gardener","contract-service-service-gardener"
"Verträge","Dienstleistung","Service","Notar","contract","service","service","notary","contract-service-service-notary","contract-service-service-notary"
"Verträge","Dienstleistung","Service","KFZ-Inspektion","contract","service","service","carinspection","contract-service-service-carinspection","contract-service-service-carinspection"
"Verträge","Dienstleistung","Wartung","Heizung","contract","service","maintenance","heating","contract-service-maintenance-heating","contract-service-maintenance-heating"
"Verträge","Dienstleistung","Wartung","Wärmepumpe","contract","service","maintenance","heatpump","contract-service-maintenance-heatpump","contract-service-maintenance-heatpump"
"Verträge","Dienstleistung","Wartung","Aufzug","contract","service","maintenance","elevator","contract-service-maintenance-elevator","contract-service-maintenance-elevator"
"Verträge","Dienstleistung","Wartung","Schornsteinfeger","contract","service","maintenance","chimneysweeper","contract-service-maintenance-chimneysweeper","contract-service-maintenance-chimneysweeper"
"Verträge","Dienstleistung","Gebühren","Gemeindegebühren","contract","service","fees","municipalfees","contract-service-fees-municipalfees","contract-service-fees-municipalfees"
"Verträge","Dienstleistung","Gebühren","Grunderwerbssteuer","contract","service","fees","realestatetax","contract-service-fees-realestatetax","contract-service-fees-realestatetax"
"Verträge","Energie","Heizen","Gas","contract","energy","heating","gas","contract-energy-heating-gas","contract-energy-heating-gas"
"Verträge","Energie","Heizen","Öl","contract","energy","heating","oil","contract-energy-heating-oil","contract-energy-heating-oil"
"Verträge","Energie","Heizen","Fernwärme","contract","energy","heating","districtheating","contract-energy-heating-districtheating","contract-energy-heating-districtheating"
"Verträge","Energie","Strom","Photovoltaik","contract","energy","electricity","photovoltaic","contract-energy-photovoltaic-electricity","contract-energy-photovoltaic-electricity"
"Verträge","Medien","Internet","DSL","contract","media","internet","broadband","contract-media-internet-broadband","contract-media-internet-broadband"
"Verträge","Medien","Internet","Glasfaser","contract","media","internet","glassfiber","contract-media-internet-glassfiber","contract-media-internet-glassfiber"
"Verträge","Medien","Mobilfunk","Handy","contract","media","cellular","mobile","contract-media-cellular-mobile","contract-media-cellular-mobile"
"Verträge","Medien","Mobilfunk","Tablet","contract","media","cellular","tablet","contract-media-cellular-tablet","contract-media-cellular-tablet"
"Verträge","Medien","Mobilfunk","Autotelefon","contract","media","cellular","carphone","contract-media-cellular-carphone","contract-media-cellular-carphone"
"Verträge","Medien","Fernsehen","Kabelfernsehen","contract","media","television","cabletv","contract-media-television-cabletv","contract-media-television-cabletv"
"Verträge","Medien","Fernsehen","Satellitenfernsehen","contract","media","television","satellitetv","contract-media-television-satellitetv","contract-media-television-satellitetv"
"Verträge","Medien","Streaming","Musik","contract","media","streaming","music","contract-media-streaming-music","contract-media-streaming-music"
"Verträge","Medien","Streaming","Filme / Serien","contract","media","streaming","moviesseries","contract-media-streaming-moviesseries","contract-media-streaming-moviesseries"
"Kontakte","Kontakte","Kontakt","Einzelkontakt","contact","contact","contact","singlecontact","single-contact","contact-contact-contact-singlecontact"
"Kontakte","Kontakte","Kontakt","Kontaktgruppe","contact","contact","contact","contactgroup","contact-group","contact-contact-contact-contactgroup" 
