id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
75;Rentenversicherung klassisch;2023-06-13 00:00:00;jaynaApp.contract.group-type.pension-insurance;28;contract;;insurance-classic-pension
76;Pflegetagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.daily-care-allowance;28;contract;;insurance-long-term-care-daily
77;Autotelefon;2023-06-13 00:00:00;jaynaApp.contract.group-type.car-phone;20;contract;;medien
78;Handy;2023-06-13 00:00:00;jaynaApp.contract.group-type.mobile;20;contract;;medien
79;Tablet;2023-06-13 00:00:00;jaynaApp.contract.group-type.tablet;20;contract;;medien
80;Mini;2023-06-13 00:00:00;jaynaApp.contract.group-type.mini-job;2;contract;;employment-contract
81;Teilzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.half-time;2;contract;;employment-contract
82;Vollzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.full-time;2;contract;;employment-contract
83;Aushilfe;2023-06-13 00:00:00;jaynaApp.contract.group-type.help;2;contract;;employment-contract
84;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.internship;2;contract;;employment-contract
85;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.termination-agreement;2;contract;;employment-contract
86;Werkvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.work-contract;2;contract;;employment-contract
87;Strom;2023-06-13 00:00:00;jaynaApp.contract.group-type.electricity;8;contract;;energy
88;Unfall;2023-06-13 00:00:00;jaynaApp.contract.group-type.accident;29;contract;;insurance-accident
89;Hausrat;2023-06-13 00:00:00;jaynaApp.contract.group-type.household-goods;29;contract;;insurance-furniture
90;Wohngebäude;2023-06-13 00:00:00;jaynaApp.contract.group-type.residential-building;29;contract;;insurance-residential
91;Rechtsschutz;2023-06-13 00:00:00;jaynaApp.contract.group-type.legal-protection;29;contract;;insurance-legal-protection
92;Privathaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.personal-liability;29;contract;;insurance-liability
93;Bauherrenhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.builders-liability;29;contract;;insurance-builder-liability
94;E-Bike & Pedeleg;2023-06-13 00:00:00;jaynaApp.contract.group-type.ebike;29;contract;;insurance-bike
95;Glas;2023-06-13 00:00:00;jaynaApp.contract.group-type.glas;29;contract;;insurance-glass
96;Feuer;2023-06-13 00:00:00;jaynaApp.contract.group-type.fire;29;contract;;insurance-fire
97;Haus- und Grundbesitzerhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.homeowner-liability;29;contract;;insurance-homelandowner
98;Kunst;2023-06-13 00:00:00;jaynaApp.contract.group-type.art;29;contract;;insurance-art
99;Mietausfall;2023-06-13 00:00:00;jaynaApp.contract.group-type.loss-of-rent;29;contract;;insurance-loss-rent
100;Photovoltaik;2023-06-13 00:00:00;jaynaApp.contract.group-type.photovoltaic;29;contract;;insurance-photovoltaic
101;Tier OP;2023-06-13 00:00:00;jaynaApp.contract.group-type.animal-surgery;29;contract;;insurance-animal-surgery
102;Tierhalterhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.animal-owner-liability;29;contract;;insurance-liability-pet
103;Umweltschadenhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.environmental-damage;29;contract;;insurance-environmental-damage
104;Elementar (Wohngebäude);2023-06-13 00:00:00;jaynaApp.contract.group-type.elementary;29;contract;;insurance-elementary
105;Versicherungsmakler;2023-06-13 00:00:00;jaynaApp.contract.group-type.insurance-broker;5;contract;;insurance-broker
106;Hausmeisterservice;2023-06-13 00:00:00;jaynaApp.contract.group-type.caretaker-service;5;contract;;caretaker-service
107;Reinigung;2023-06-13 00:00:00;jaynaApp.contract.group-type.cleaning;5;contract;;cleaning
108;Immobilienmakler;2023-06-13 00:00:00;jaynaApp.contract.group-type.real-estate-agent;5;contract;;real-estate-agent
109;Gärtner;2023-06-13 00:00:00;jaynaApp.contract.group-type.gardener;5;contract;;gardener
110;KFZ-Inspektion;2023-06-13 00:00:00;jaynaApp.contract.group-type.car-inspection;5;contract;;car-inspection
111;Filme / Serien;2023-06-13 00:00:00;jaynaApp.contract.group-type.movies-series;21;contract;;medien
112;Musik;2023-06-13 00:00:00;jaynaApp.contract.group-type.music;21;contract;;medien
113;Heizung;2023-06-13 00:00:00;jaynaApp.contract.group-type.heating;6;contract;;heating
114;Wärmepumpe;2023-06-13 00:00:00;jaynaApp.contract.group-type.heat-pump;6;contract;;heat-pump
115;Schornsteinfeger;2023-06-13 00:00:00;jaynaApp.contract.group-type.chimney-sweeper;6;contract;;chimney-sweeper
