id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
93;E-Bike & Pedeleg;2023-06-13 00:00:00;jaynaApp.group-type.ebike;29;;;
94;Glas;2023-06-13 00:00:00;jaynaApp.group-type.glas;29;;;
95;Feuer;2023-06-13 00:00:00;jaynaApp.group-type.fire;29;;;
96;Haus- und Grundbesitzerhaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.homeowner-liability;29;;;
97;Kunst;2023-06-13 00:00:00;jaynaApp.group-type.art;29;;;
98;Mietausfall;2023-06-13 00:00:00;jaynaApp.group-type.loss-of-rent;29;;;
99;Photovoltaik;2023-06-13 00:00:00;jaynaApp.group-type.photovoltaic;29;;;
100;Tier OP;2023-06-13 00:00:00;jaynaApp.group-type.animal-surgery;29;;;
101;Tierhalterhaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.animal-owner-liability;29;;;
102;Umweltschadenhaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.environmental-damage;29;;;
103;Elementar (Wohngebäude);2023-06-13 00:00:00;jaynaApp.group-type.elementary;29;;;
104;Versicherungsmakler;2023-06-13 00:00:00;jaynaApp.group-type.insurance-broker;5;;;
105;Hausmeisterservice;2023-06-13 00:00:00;jaynaApp.group-type.concierge-service;5;;;
106;Reinigung;2023-06-13 00:00:00;jaynaApp.group-type.cleaning;5;;;
107;Immobilienmakler;2023-06-13 00:00:00;jaynaApp.group-type.real-estate-agent;5;;;
108;Gärtner;2023-06-13 00:00:00;jaynaApp.group-type.gardener;5;;;
109;KFZ-Inspektion;2023-06-13 00:00:00;jaynaApp.group-type.car-inspection;5;;;
110;Filme / Serien;2023-06-13 00:00:00;jaynaApp.group-type.movies-series;21;;;
111;Musik;2023-06-13 00:00:00;jaynaApp.group-type.music;21;;;
112;Heizung;2023-06-13 00:00:00;jaynaApp.group-type.heating;6;;;
113;Wärmepumpe;2023-06-13 00:00:00;jaynaApp.group-type.heat-pump;6;;;
114;Schornsteinfeger;2023-06-13 00:00:00;jaynaApp.group-type.chimney-sweeper;6;;;
115;Aufzug;2023-06-13 00:00:00;jaynaApp.group-type.elevator;6;;;
116;Wohnungsmietvertrag;2023-06-13 00:00:00;jaynaApp.group-type.apartment-rental-agreement;25;;;
117;Hausmietvertrag;2023-06-13 00:00:00;jaynaApp.group-type.house-lease;25;;;
118;Gewerbeeinheit;2023-06-13 00:00:00;jaynaApp.realestate.group-type.commercial-unit;32;realestate;GEWE;commercial-residential-property
119;Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.commercial-building;32;realestate;GEWH;commercial-residential-property
120;Halle;2023-06-13 00:00:00;jaynaApp.realestate.group-type.hall;33;realestate;HALL;commercial-residential-property
121;Doppelhaushälfte;2023-06-13 00:00:00;jaynaApp.realestate.group-type.semit-detached-house;34;realestate;DHH;commercial-residential-property
122;Einfamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.detached-house;34;realestate;EFH;commercial-residential-property
123;Ferienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.vacation-house;34;realestate;FEH;commercial-residential-property
124;Mehrfamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.apartment-building;34;realestate;MFH;commercial-residential-property
125;Pflegeeinrichtung;2023-06-13 00:00:00;jaynaApp.realestate.group-type.care-facility;34;realestate;PFE;commercial-residential-property
126;Reihenendhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.terraced-end-house;34;realestate;REH;commercial-residential-property
127;Reihenmittelhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.terraced-mid-house;34;realestate;RMH;commercial-residential-property
128;Zweifamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.two-family-house;34;realestate;ZFH;commercial-residential-property
129;Wohnungen & Gewerbe;2023-06-13 00:00:00;jaynaApp.realestate.group-type.apartments-commercial-mix;35;realestate;PGM;commercial-residential-property
130;Carport;2023-06-13 00:00:00;jaynaApp.realestate.group-type.carport;36;property;CARP;
131;Garage;2023-06-13 00:00:00;jaynaApp.realestate.group-type.garage;36;property;GARA;
132;Parkhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-house;36;property;PARH;
133;Parkplatz;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-space;36;property;PARP;
134;Ackerland;2023-06-13 00:00:00;jaynaApp.realestate.group-type.farmland;37;property;ACKE;
135;Forst;2023-06-13 00:00:00;jaynaApp.realestate.group-type.forest;37;property;FORS;
136;Frucht;2023-06-13 00:00:00;jaynaApp.realestate.group-type.fruit;37;property;FRUCH;
137;Weide;2023-06-13 00:00:00;jaynaApp.realestate.group-type.pasture;37;property;WEID;
138;Schrebergarten;2023-06-13 00:00:00;jaynaApp.realestate.group-type.allotment-garden;38;property;STGA;
139;Bebauungsgrundstück;2023-06-13 00:00:00;jaynaApp.realestate.group-type.building-plot;39;property;BBGS;
140;Wiese;2023-06-13 00:00:00;jaynaApp.realestate.group-type.meadow;39;property;WIES;
