id;name;created_date;translation_key;sub_category_id;created_by
27;Kranken;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.health;13;system
28;Leben;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.life;13;system
29;Sach;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.object;13;system
30;Gewerbe;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.business;13;system
31;Förderung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.support;4;system
32;Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.commercial-building;16;system
33;Halle;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.hall;16;system
34;Wohnhaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.residential-building;16;system
35;Wohn + Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.commercial-residential-building;16;system
36;Parkfläche;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.parking-space;16;system
37;Bewirtschaftung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.farmland;16;system
38;Garten;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.garden;16;system
39;Grund;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.ground;17;system
40;Gebühren;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.fees;5;system
41;Bankkonto;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.bank-account;18;system
42;Kreditkarte;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.credit-card;19;system
43;Bezahlsysteme;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.payment-systems;20;system
44;Kontakt;2023-06-13 00:00:00;jaynaApp.contact.sub-category-group.contact;21;system
45;Anhänger;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.trailer;25;system
46;Auto;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.car;26;system
47;Bike;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.bike;23;system
48;E-Bike;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.e-bike;23;system
49;Hybrid;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.hybrid;22;system
50;Kasten;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.box;25;system
51;Motorbetrieben;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.motorized;22;system
52;Motorrad;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.motorcycle;26;system
53;Pedelec;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.pedelec;23;system
54;Quad;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.quad;26;system
55;Segeln;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.sailing;22;system
56;Traktor;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.tractor;24;system
57;Wohnmobil;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.camper;26;system
58;Wohnwagen;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.caravan;25;system

59;Girokonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.checking-account;2;system
60;Sparkonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.savings-account;2;system
61;Tagesgeldkonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.overnight-account;2;system
62;Festgeldkonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.fixed-term-account;2;system
63;Kreditkarte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.credit-card;3;system
64;Debitkarte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.debit-card;3;system
65;Hausverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.property-management;14;system
66;Mietverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.rental-management;15;system
