id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
45;Gebäude;2023-06-13 00:00:00;jaynaApp.contract.group-type.building;23;contract;;lease;system;STATIC
46;DSL;2023-06-13 00:00:00;jaynaApp.contract.group-type.broadband;19;contract;;medien;system;STATIC
47;Glasfaser;2023-06-13 00:00:00;jaynaApp.contract.group-type.glass-fiber;19;contract;;medien;system;STATIC
48;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;10;contract;;sale-contract;system;STATIC
49;Motorrad;2023-06-13 00:00:00;jaynaApp.contract.group-type.motorcycle;10;contract;;sale-contract;system;STATIC
50;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;14;contract;;credit-contract;system;STATIC
51;Wohnwagen;2023-06-13 00:00:00;jaynaApp.contract.group-type.caravan;14;contract;;credit-contract;system;STATIC
52;Motorboot;2023-06-13 00:00:00;jaynaApp.contract.group-type.boat;14;contract;;credit-contract;system;STATIC
53;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;16;contract;;leasing;system;STATIC
54;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;24;contract;;lease;system;STATIC
55;Wohnmobil;2023-06-13 00:00:00;jaynaApp.contract.group-type.camper;24;contract;;lease;system;STATIC
56;Motorrad;2023-06-13 00:00:00;jaynaApp.contract.group-type.motorcycle;26;contract;;insurance-automobile;system;STATIC
57;Wohnwagen;2023-06-13 00:00:00;jaynaApp.contract.group-type.caravan;26;contract;;insurance-automobile;system;STATIC
58;Wohnmobil;2023-06-13 00:00:00;jaynaApp.contract.group-type.camper;26;contract;;insurance-automobile;system;STATIC
59;Traktor;2023-06-13 00:00:00;jaynaApp.contract.group-type.tractor;26;contract;;insurance-automobile;system;STATIC
60;gesetzliche Krankenversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.statutory-health-insurance;27;contract;;insurance-health;system;STATIC
61;Ausland;2023-06-13 00:00:00;jaynaApp.contract.group-type.abroad;27;contract;;insurance-int-health;system;STATIC
62;Privat Zusatz Zahn;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-teeth;27;contract;;insurance-pri-add-health;system;STATIC
63;Privat Zusatz stationär;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-stationary;27;contract;;insurance-pri-add-stat;system;STATIC
64;Privat Zusatz ambulant;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-outpatient;27;contract;;insurance-pri-add-out;system;STATIC
65;Privat Kranken voll;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-full;27;contract;;insurance-pri-sick-full;system;STATIC
66;Krankentagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.sick-pay;27;contract;;insurance-daily-sickness;system;STATIC
67;Krankenhaustagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.hospital-per-diem;27;contract;;insurance-daily-hospital;system;STATIC
68;Umschuldung;2023-06-13 00:00:00;jaynaApp.contract.group-type.rescheduling;15;contract;;credit-contract;system;STATIC
69;Modernisierung;2023-06-13 00:00:00;jaynaApp.contract.group-type.modernization;15;contract;;credit-contract;system;STATIC
